namespace,pod_name,cpu_cores,memory_mb
acbcounseling,acbcounseling-bear-app-7ff944954f-7g257,1m,1795
acbcounseling,acbcounseling-bear-app-7ff944954f-xk2g9,1m,1800
acbcounseling,delayed-acbcounseling-bear-app-0-6b4bfd49f6-4ldsm,1m,308
achieve,achieve-bear-app-9fdfb4578-99d8w,1m,2123
achieve,achieve-bear-app-9fdfb4578-ltdsl,2m,2024
achieve,delayed-achieve-bear-app-0-68f7d7ddbf-bn2w4,1m,1929
achievement,achievement-bear-app-6d9f4cc7f7-pgmwf,1m,1140
achievement,delayed-achievement-bear-app-0-799bbfdd4-rtlfr,1m,281
achr,achr-bear-app-5cd77dffcf-687sc,1m,1429
achr,achr-bear-app-5cd77dffcf-8j9jb,1m,1488
achr,delayed-achr-bear-app-0-7d44969d45-9lq9l,1m,296
acoma,acoma-bear-app-6b58dfd89d-2ksrv,1m,1114
acoma,acoma-bear-app-6b58dfd89d-g8j67,1m,1119
acoma,delayed-acoma-bear-app-0-76f9d78f64-fzxx9,1m,255
acoma,delayed-acoma-bear-app-1-68f7bd57c5-2cp5d,1m,276
agetoage,agetoage-bear-app-6799b99857-8k994,1m,1159
agetoage,agetoage-bear-app-6799b99857-s7nz7,1m,1106
agetoage,delayed-agetoage-bear-app-0-7459d7c9d8-5w6t9,1m,351
ahatherapy,ahatherapy-bear-app-79bcbf9c8f-d6r2z,1m,1839
ahatherapy,ahatherapy-bear-app-79bcbf9c8f-pmr45,1m,1966
ahatherapy,delayed-ahatherapy-bear-app-0-85769778c8-r9vvj,1m,411
akani,akani-bear-app-54fd7c9bbc-8vm9t,7m,1837
akani,akani-bear-app-54fd7c9bbc-lvptj,3m,1974
akani,delayed-akani-bear-app-0-f9bd7d66-75ljd,1m,993
allduiservices,allduiservices-bear-app-6cdb5446dd-fbkhs,1m,1126
allduiservices,allduiservices-bear-app-6cdb5446dd-lwhrs,1m,1169
allduiservices,delayed-allduiservices-bear-app-0-6dbcc67458-kjlzw,1m,298
allfaiths,allfaiths-bear-app-56fdbc66c4-8t989,10m,2480
allfaiths,allfaiths-bear-app-56fdbc66c4-l5t55,5m,2534
allfaiths,allfaiths-bear-app-56fdbc66c4-p7q2w,24m,2225
allfaiths,delayed-allfaiths-bear-app-0-68c7dd588-8mnbt,1m,406
allfaiths,delayed-allfaiths-bear-app-1-86c7f6dd99-xjclt,1m,544
allfaiths,delayed-allfaiths-bear-app-2-58fbbd68cf-fvmwd,1m,2333
amana,amana-bear-app-59d8c49d8-gmq2b,1m,877
amana,amana-bear-app-59d8c49d8-qfffh,1m,872
amana,delayed-amana-bear-app-0-7b7969fc4c-bcmdr,1m,304
amyedwardsmdpllc,delayed-amyedwardsmdpllc-bear-app-0-d5d7ddc4f-q8rhs,1m,254
arisenm,arisenm-bear-app-b6d6b688-n8kvt,6m,1965
arisenm,arisenm-bear-app-b6d6b688-z5jtd,3m,1851
arisenm,delayed-arisenm-bear-app-0-69bcf8b8f9-rhvgv,1m,327
assurance,assurance-bear-app-f64bb75b-qs4mf,1m,1573
assurance,assurance-bear-app-f64bb75b-v6xgv,1m,1580
assurance,delayed-assurance-bear-app-6b6d88c669-r749g,1m,365
behaviocare,behaviocare-bear-app-5b7f6d5f7-zkslw,1m,1214
behaviocare,delayed-behaviocare-bear-app-0-6fb697d5f4-tpk5j,1m,282
bfcs,bfcs-bear-app-55d6bc9ff8-4gn75,1m,929
bfcs,bfcs-bear-app-55d6bc9ff8-5c55l,1m,1058
bfcs,bfcs-bear-app-55d6bc9ff8-c5wxb,1m,864
bfcs,bfcs-bear-app-55d6bc9ff8-nrhnn,1m,918
bfcs,delayed-bfcs-bear-app-0-6fd7fd47df-2d4hc,1m,296
bfcs,delayed-bfcs-bear-app-1-7d6c667f6d-dfr9c,1m,264
bfcs,delayed-bfcs-bear-app-2-bcc46cc77-mjkcf,1m,254
casadeluz,casadeluz-bear-app-cfdd6fd97-4xx49,3m,2466
casadeluz,delayed-casadeluz-bear-app-0-7dff589c65-mk7mn,1m,334
casamilagro,casamilagro-bear-app-697f645db4-hx8bg,1m,931
casamilagro,casamilagro-bear-app-697f645db4-ptbmc,1m,871
casamilagro,delayed-casamilagro-bear-app-0-55594c7f4f-vbc2l,1m,289
casasanjose,casasanjose-bear-app-7d9d997bc4-dcv6h,2m,1199
casasanjose,casasanjose-bear-app-7d9d997bc4-fxlgt,10m,1132
casasanjose,delayed-casasanjose-bear-app-845468796d-h6drt,1m,394
cccc,cccc-bear-app-85f95685b7-vtcrp,1m,1150
cccc,delayed-cccc-bear-app-0-9b74765dc-2xh7c,1m,279
childrenstreatmentcenter,childrenstreatmentcenter-bear-app-54cf67b89b-8bssx,1m,1148
childrenstreatmentcenter,childrenstreatmentcenter-bear-app-54cf67b89b-gp5d6,1m,1177
childrenstreatmentcenter,delayed-childrenstreatmentcenter-bear-app-0-67dcd47578-mlncs,1m,272
circle,circle-bear-app-68cf7d5dd7-289q8,2m,1445
circle,circle-bear-app-68cf7d5dd7-tn96s,1m,1532
circle,delayed-circle-bear-app-67775cdc7-ctcw5,1m,518
clancy,clancy-bear-app-6bf58696b7-klmb8,1m,659
clancy,delayed-clancy-bear-app-8458bcd9fb-n2622,1m,300
colfax,colfax-bear-app-6fcf97576d-qmjg4,1m,862
colfax,colfax-bear-app-6fcf97576d-xzv7g,1m,886
colfax,delayed-colfax-bear-app-0-7965888954-r5r2m,1m,280
completebh,completebh-bear-app-7d88ddf7cc-9qm84,1m,1111
completebh,completebh-bear-app-7d88ddf7cc-9xxv5,1m,1165
completebh,delayed-completebh-bear-app-0-75d78f5f84-tkl59,1m,286
crossroads,crossroads-bear-app-b8864784f-25dzl,1m,927
crossroads,crossroads-bear-app-b8864784f-tpd62,1m,934
crossroads,delayed-crossroads-bear-app-0-856c5d6c6d-f8vmc,1m,282
cuidando,cuidando-bear-app-57cb97f584-4dxbs,1m,1957
cuidando,cuidando-bear-app-57cb97f584-67fvn,3m,1797
cuidando,delayed-cuidando-bear-app-0-5fb548d5db-nbt2k,1m,287
custer,custer-bear-app-f776cd66c-4gnbd,1m,901
custer,custer-bear-app-f776cd66c-8mls5,1m,835
custer,delayed-custer-bear-app-66b4b46c47-vqg5j,1m,439
