id	user_id	name	duration	created_at	deleted_at	created_by	deleted_by	inactive_status	form_id	color	color_dark	color_medium	color_clear	intercom_cancel	sms_cancel	sms_cancel_hours	intercom_cancel_hours	do_not_call	check_resource_overlap	client_portal
2037	195	Paper MH Evaluation	60	2023-04-21 14:05:21	2026-02-17 15:45:35	NULL	1	1	199	#ff0000	#330000	#ff0000	#ffb2b2	NULL	NULL	NULL	NULL	0	0	1
2038	195	Paper OWI Evaluation	60	2023-04-21 14:05:22	2026-02-17 15:45:35	NULL	1	1	198	#e2f202	#2f3200	#ecfc02	#f9feb3	NULL	NULL	NULL	NULL	0	0	1
1796	181	Paper SU/MH Evaluation	60	2022-10-25 20:03:16	2026-02-17 15:45:34	NULL	1	1	197	#1157e4	#03122f	#115aed	#b7cdf9	0	0	NULL	NULL	0	0	1
1798	181	Paper OWI Evaluation	60	2022-10-25 20:03:16	2026-02-17 15:45:34	NULL	1	1	198	#e2f202	#2f3200	#ecfc02	#f9feb3	0	0	NULL	NULL	0	0	1
1914	192	Paper SU/MH Evaluation	60	2023-01-24 19:14:48	2026-02-17 15:45:34	NULL	1	1	197	#1157e4	#03122f	#115aed	#b7cdf9	NULL	NULL	NULL	NULL	0	0	1
1915	192	Paper MH Evaluation	60	2023-01-24 19:14:48	2026-02-17 15:45:34	NULL	1	1	199	#ff0000	#330000	#ff0000	#ffb2b2	NULL	NULL	NULL	NULL	0	0	1
1916	192	Paper OWI Evaluation	60	2023-01-24 19:14:48	2026-02-17 15:45:34	NULL	1	1	198	#e2f202	#2f3200	#ecfc02	#f9feb3	NULL	NULL	NULL	NULL	0	0	1
1748	173	Paper SU/MH Evaluation	60	2022-10-06 13:47:29	2026-02-17 15:45:34	NULL	1	1	197	#1157e4	#03122f	#115aed	#b7cdf9	0	0	NULL	NULL	0	0	1
1749	173	Paper MH Evaluation	60	2022-10-06 13:47:29	2026-02-17 15:45:34	NULL	1	1	199	#ff0000	#330000	#ff0000	#ffb2b2	0	0	NULL	NULL	0	0	1
2036	195	Paper SU/MH Evaluation	60	2023-04-21 14:05:21	2026-02-17 15:45:34	NULL	1	1	197	#1157e4	#03122f	#115aed	#b7cdf9	NULL	NULL	NULL	NULL	0	0	1
1335	92	Paper SU/MH Evaluation	60	2022-07-05 22:42:15	2026-02-17 15:45:33	NULL	1	1	197	#1157e4	#03122f	#115aed	#b7cdf9	0	0	NULL	NULL	0	0	1
1336	92	Paper MH Evaluation	60	2022-07-05 22:42:15	2026-02-17 15:45:33	NULL	1	1	199	#ff0000	#330000	#ff0000	#ffb2b2	0	0	NULL	NULL	0	0	1
